TransactionID,Date,ProductID,Type,SupplierID,Quantity,Promised_Delivery_Days,Actual_Delivery_Days
1,2025-09-28,120,Sale,0,225,0,0
2,2025-08-01,114,Purchase,10,483,4,3
3,2025-01-30,110,Sale,0,342,0,0
4,2025-03-29,105,Purchase,3,312,8,18
5,2025-05-25,107,Sale,0,167,0,0
6,2025-01-13,111,Purchase,7,475,3,9
7,2025-08-09,101,Sale,0,107,0,0
8,2025-02-18,120,Sale,0,447,0,0
9,2025-09-03,107,Sale,0,468,0,0
10,2025-05-09,115,Sale,0,400,0,0
11,2025-05-31,113,Sale,0,141,0,0
12,2025-10-16,119,Purchase,9,14,5,6
13,2025-08-12,111,Purchase,10,360,8,7
14,2025-01-20,118,Purchase,2,88,8,9
15,2025-05-27,113,Sale,0,40,0,0
16,2025-05-15,108,Sale,0,38,0,0
17,2025-01-11,113,Sale,0,122,0,0
18,2025-11-03,111,Purchase,9,474,8,7
19,2025-04-03,102,Sale,0,270,0,0
20,2025-04-19,116,Sale,0,236,0,0
21,2025-09-05,107,Purchase,2,264,8,6
22,2025-05-08,101,Sale,0,71,0,0
23,2025-09-12,112,Sale,0,108,0,0
24,2025-12-09,120,Sale,0,461,0,0
25,2025-12-18,105,Purchase,8,351,3,4
26,2025-10-26,102,Sale,0,478,0,0
27,2025-07-24,112,Sale,0,11,0,0
28,2025-05-12,107,Sale,0,424,0,0
29,2025-06-10,116,Sale,0,320,0,0
30,2025-08-22,110,Purchase,9,176,3,3
31,2025-04-08,101,Purchase,6,252,7,8
32,2025-05-07,111,Purchase,2,98,3,4
33,2025-09-22,107,Sale,0,165,0,0
34,2025-03-05,114,Sale,0,386,0,0
35,2025-12-29,115,Sale,0,406,0,0
36,2025-10-05,112,Purchase,5,363,6,4
37,2025-09-27,104,Sale,0,376,0,0
38,2025-09-18,116,Purchase,6,442,7,7
39,2025-11-10,108,Purchase,2,267,9,10
40,2025-10-15,103,Sale,0,113,0,0
41,2025-10-27,116,Purchase,8,304,3,3
42,2025-01-04,115,Sale,0,364,0,0
43,2025-11-27,106,Purchase,9,308,9,10
44,2025-04-21,120,Sale,0,110,0,0
45,2025-11-26,114,Sale,0,430,0,0
46,2025-08-15,106,Sale,0,179,0,0
47,2025-05-30,112,Sale,0,463,0,0
48,2025-09-16,116,Purchase,5,424,8,9
49,2025-12-02,114,Sale,0,404,0,0
50,2025-07-10,102,Sale,0,455,0,0
51,2025-07-16,117,Purchase,3,285,3,12
52,2025-06-25,117,Sale,0,326,0,0
53,2025-04-22,113,Purchase,5,486,10,10
54,2025-08-27,116,Purchase,2,90,7,6
55,2025-02-24,108,Purchase,9,446,5,3
56,2025-06-27,105,Sale,0,295,0,0
57,2025-05-02,111,Sale,0,119,0,0
58,2025-05-14,113,Sale,0,291,0,0
59,2025-08-14,118,Sale,0,455,0,0
60,2025-12-04,116,Sale,0,159,0,0
61,2025-09-21,105,Sale,0,370,0,0
62,2025-09-26,116,Sale,0,105,0,0
63,2025-03-14,113,Sale,0,40,0,0
64,2025-01-24,112,Purchase,5,343,10,10
65,2025-01-30,114,Sale,0,150,0,0
66,2025-01-23,109,Sale,0,50,0,0
67,2025-12-21,107,Purchase,10,319,7,5
68,2025-04-23,116,Purchase,7,338,7,14
69,2025-02-11,115,Sale,0,275,0,0
70,2025-07-09,116,Sale,0,194,0,0
71,2025-01-14,114,Sale,0,443,0,0
72,2025-01-25,105,Sale,0,250,0,0
73,2025-09-26,106,Sale,0,406,0,0
74,2025-09-27,106,Sale,0,342,0,0
75,2025-03-18,115,Sale,0,455,0,0
76,2025-10-27,120,Purchase,10,152,9,9
77,2025-04-21,116,Sale,0,156,0,0
78,2025-08-25,110,Sale,0,465,0,0
79,2025-07-18,103,Purchase,4,278,8,9
80,2025-07-18,101,Purchase,9,43,5,6
81,2025-05-18,117,Sale,0,94,0,0
82,2025-05-17,113,Sale,0,30,0,0
83,2025-12-04,102,Sale,0,289,0,0
84,2025-09-25,102,Sale,0,461,0,0
85,2025-07-23,116,Purchase,8,82,8,9
86,2025-07-16,113,Sale,0,377,0,0
87,2025-10-16,112,Purchase,9,82,9,7
88,2025-04-08,107,Sale,0,462,0,0
